Chamber Pressure,OF,Adiabatic flame temperature,cp mass,cv mass,cp molar,cv molar,Isentropic exponent,Molecular weight,Specific gas constant,Specifc impulse,Vacuum specific Impulse,Characteristic velocityThrust coefficient,Vacuum thrust coefficient
bar,-,K,J/kg-K,J/mol-K,J/kg-K,J/mol-K,-,g/mol,J/kg-K,sec,sec,m/s,-,-
5.0,3.404040404040404,2742.20619364894,1607.12335863204,1248.6093780371477,37271.5369870219,28957.07436886866,1.287130616589223,23.19145993792716,358.5139805948923,165.70474314495831,302.73942564087497,1491.1791897197352,1.0897472487313369,1.9909475728527832
5.0,3.5454545454545454,2813.7499023653454,1604.1996957321946,1250.1592357876916,37673.825201529,29359.362583375758,1.283196291967904,23.484498408618496,354.04045994450297,166.95120459681294,306.38414231880864,1502.676379806574,1.0895439980031374,1.9995004178195044
5.0,3.686868686868687,2874.5902351617838,1600.834574322396,1250.8418032839309,38029.58325841536,29715.12064026212,1.2798057836887147,23.756098143065525,349.9927710384652,167.90932668680534,309.35384833928646,1511.5407533188347,1.0893705610898803,2.0070414311724143
5.0,3.8282828282828283,2924.632569713913,1597.0154871033546,1250.6658357329989,38337.92098706043,30023.45836890719,1.2769322080085164,24.00597946397955,346.3496513703559,168.59219828395698,311.6624943714517,1517.8911026845533,1.0892248319904403,2.0135601262977874
5.0,3.9696969696969697,2964.399229211372,1592.765175631322,1249.6845447590947,38600.21616089123,30285.753542737988,1.274533787195363,24.234718809438633,343.08063087222735,169.0252700393094,313.3563817848898,1521.958888620258,1.0891040992136627,2.0190928837878244
5.0,4.111111111111111,2995.1164966656993,1588.156504694872,1248.0126015147657,38820.827792613854,30506.365174460614,1.2725484524493256,24.443956044541334,340.14390318010624,169.24796169838018,314.5196840242687,1524.1030568929325,1.0890047861809498,2.0237374666936785
5.0,4.252525252525253,3018.382291180307,1583.2917158780167,1245.7991445384096,39005.954214182595,30691.491596029355,1.2709044815283237,24.63598705343556,337.4925713396072,169.30533781976888,315.25494976242726,1524.734272810202,1.0889229820158388,2.0276286879743712
5.0,4.393939393939394,3035.7717110600656,1578.2734494482854,1243.1912256073513,39162.01655296066,30847.55393480742,1.2695339356801143,24.813201138655955,335.08222384093426,169.23904781148576,315.66032724155446,1524.2323161489926,1.0888550850395926,2.0309045513248387
5.0,4.535353535353535,3048.6200233186178,1573.1877332297722,1240.3127398879228,39294.662743990855,30980.200125837615,1.268379887295142,24.977732735888086,332.8749933418494,169.08293542450707,315.8175403335778,1522.9059701690032,1.0887981275014187,2.033685692077615
5.0,4.6767676767676765,3057.974490999108,1568.0996989609957,1237.259449977411,39408.464866665745,31094.002248512505,1.2673976335275718,25.131351592489512,330.8402489835848,168.86265026769146,315.7897919449901,1520.9893986424697,1.0887498037301688,2.0360693940019323
5.0,4.818181818181818,3064.628027600221,1563.055802785761,1234.1021262757633,39506.98827941124,31192.525661258,1.2665530424963323,25.275481661627044,328.95367650999765,168.59700126076564,315.624311683262,1518.654428142908,1.0887083669427804,2.038131321260268
5.0,4.959595959595959,3069.1741356806488,1558.0878910596093,1230.8919205689365,39592.98003146294,31278.5174133097,1.265820227611404,25.41126226488862,327.19597049067266,168.29961555500626,315.35597454842326,1516.025641110622,1.088672500072887,2.039929658141998
5.0,5.101010101010101,3072.0576451210095,1553.2170549085245,1227.6654050662464,39668.55995714229,31354.097338989053,1.2651794605425986,25.539611370980307,325.5516498422779,167.9803558955179,315.0105347248426,1513.1932824505739,1.0886412041659244,2.0415092349316466
5.0,5.242424242424242,3073.61456950243,1548.456690315203,1224.448564955584,39735.37778771887,31420.91516956563,1.2646155458325619,25.66127812049451,324.00812535961927,167.6463908079309,314.60712699555444,1510.2230106415113,1.0886137125656943,2.042904895642139
